client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
241bdb890336e245aa0eb04f7693dd6ff0f6522b90982366ec72f0e1077014a000971bf6237b80049f7ec647605cb358effade58b34d5ef092b775779cc351ad	common_voice_ta_19071681.mp3	14dcb8c679d159444fcbc561746f870e6edd6a80c700ebe655863dc80b20884f	துணைவன் இறந்தபின் வேறு துணைதேடச்		0	2	twenties	male_masculine			ta	
e7f76d7dedd9e6999478ab1cec1f9fd0a4289101d39cb6281e0f7af8fd03a8054b7f9c84e5ac1fba4f1ea1daa88014e614c52b75ebb94547c09fddc0fbe9436c	common_voice_ta_19083966.mp3	01418f6897f4145b0fbca99fd3537a9250ba17507313cbe7d7005664d1e7de2a	சூரியன் ஒரு நடுவயது நட்சத்திரம்		1	2	thirties	male_masculine			ta	
e7f76d7dedd9e6999478ab1cec1f9fd0a4289101d39cb6281e0f7af8fd03a8054b7f9c84e5ac1fba4f1ea1daa88014e614c52b75ebb94547c09fddc0fbe9436c	common_voice_ta_19083970.mp3	08f9c301dfc749505eba8432974f31bd03dccaf8cb8955f17e83a2bb16586e70	நாங்கள், ஆண்மைச்		1	2	thirties	male_masculine			ta	
e7f76d7dedd9e6999478ab1cec1f9fd0a4289101d39cb6281e0f7af8fd03a8054b7f9c84e5ac1fba4f1ea1daa88014e614c52b75ebb94547c09fddc0fbe9436c	common_voice_ta_19084099.mp3	0d6632cfd29c4a699f4ec9094754a7f5474b19554f4d8808dc41d3bf524008b6	பசியால் அண்ணன் பதைபதைக் கின்றான்;		1	2	thirties	male_masculine			ta	
6622032a09c9f7e0fbb3bddc0a33304509ca3f33ec79fe2d9034eb22d9e92d09170f736622659283a99fbcd6f1648daf86e4205308c98d932d93b8d9bd0faa6a	common_voice_ta_19093477.mp3	19c952736937e5643fde41319c1a977d336e667b38d5d6e2dd52497b4fae033d	மன்னாதி மன்னர்களே, என்விண் ணப்பம்!		0	2	twenties	male_masculine			ta	
6622032a09c9f7e0fbb3bddc0a33304509ca3f33ec79fe2d9034eb22d9e92d09170f736622659283a99fbcd6f1648daf86e4205308c98d932d93b8d9bd0faa6a	common_voice_ta_19093489.mp3	00d3bc2a786e59244f8012a2cb31608db3671e64611f75aa4dca745e494c8bef	வில்லாய் வளைந்தது மேனி; அவர்தோள்		1	2	twenties	male_masculine			ta	
6622032a09c9f7e0fbb3bddc0a33304509ca3f33ec79fe2d9034eb22d9e92d09170f736622659283a99fbcd6f1648daf86e4205308c98d932d93b8d9bd0faa6a	common_voice_ta_19093491.mp3	196ce20c1d8d1c9c3d357c0bf2246d3c714a4cd81c57dd79974031aea2046405	சொற்கண்டு மலைக்காதே உன்பகுத் தறி வால்		0	2	twenties	male_masculine			ta	
6622032a09c9f7e0fbb3bddc0a33304509ca3f33ec79fe2d9034eb22d9e92d09170f736622659283a99fbcd6f1648daf86e4205308c98d932d93b8d9bd0faa6a	common_voice_ta_19093496.mp3	09efd104e31858d424a020d5cbeac21eb67a977e6bc2721ca9d52419e916e9a8	தீராதி தீரரென் றூதூது சங்கே!		0	2	twenties	male_masculine			ta	
6622032a09c9f7e0fbb3bddc0a33304509ca3f33ec79fe2d9034eb22d9e92d09170f736622659283a99fbcd6f1648daf86e4205308c98d932d93b8d9bd0faa6a	common_voice_ta_19093533.mp3	205ad36557893e5ef11a3355df725ca52c5b941ac397d3ea55e4149fcfc2875b	நிறைகுணப் பேறெய்தும் 'தொழல்' எதுவெனவும்		1	2	twenties	male_masculine			ta	
6622032a09c9f7e0fbb3bddc0a33304509ca3f33ec79fe2d9034eb22d9e92d09170f736622659283a99fbcd6f1648daf86e4205308c98d932d93b8d9bd0faa6a	common_voice_ta_19093535.mp3	08de578b6b3e850bba860c8ebc591ccf4139b1929da4c8518ffa7ea89d49d9d6	புதியதோர் உலகம் செய்வோம் - கெட்ட		1	2	twenties	male_masculine			ta	
